Case_type,Region,Representation,Quarter,Number_of_disposals,Mean_duration,Median_duration
Children Act (Public),London,2 Applicant Only,2017-Q1,94,17.200000,16.500000000
Children Act (Public),London,3 Respondent Only,2017-Q1,14,15.900000,18.800000000
Children Act (Public),London,4 Neither,2017-Q1,6,11.100000,9.700000000
Children Act (Public),London,All types,2017-Q1,558,27.300000,25.800000000
Children Act (Public),Midlands,1 Both,2017-Q1,608,29.100000,25.700000000
Children Act (Public),Midlands,2 Applicant Only,2017-Q1,102,15.000000,13.700000000
Children Act (Public),Midlands,3 Respondent Only,2017-Q1,2,14.700000,14.700000000
Children Act (Public),Midlands,4 Neither,2017-Q1,4,13.800000,5.200000000
Children Act (Public),Midlands,All types,2017-Q1,716,26.900000,24.900000000
Children Act (Public),North East,1 Both,2017-Q1,626,27.700000,24.800000000
Children Act (Public),North East,2 Applicant Only,2017-Q1,115,16.600000,14.400000000
Children Act (Public),North East,3 Respondent Only,2017-Q1,5,14.500000,11.100000000
Children Act (Public),North East,4 Neither,2017-Q1,7,17.900000,12.300000000
Children Act (Public),North East,All types,2017-Q1,753,25.800000,24.000000000
Children Act (Public),North West,1 Both,2017-Q1,511,26.400000,25.000000000
Children Act (Public),North West,2 Applicant Only,2017-Q1,136,12.700000,10.100000000
Children Act (Public),North West,3 Respondent Only,2017-Q1,2,33.500000,33.500000000
Children Act (Public),North West,4 Neither,2017-Q1,4,23.500000,21.200000000
Children Act (Public),North West,All types,2017-Q1,653,23.500000,23.600000000
Children Act (Public),South East,1 Both,2017-Q1,567,28.000000,25.600000000
Children Act (Public),South East,2 Applicant Only,2017-Q1,104,14.400000,10.300000000
Children Act (Public),South East,3 Respondent Only,2017-Q1,12,19.400000,22.400000000
Children Act (Public),South East,4 Neither,2017-Q1,5,12.500000,11.100000000
Children Act (Public),South East,All types,2017-Q1,688,25.600000,24.900000000
Children Act (Public),South West,1 Both,2017-Q1,364,27.000000,24.900000000
Children Act (Public),South West,2 Applicant Only,2017-Q1,67,10.300000,5.700000000
Children Act (Public),South West,3 Respondent Only,2017-Q1,14,28.000000,25.900000000
Children Act (Public),South West,4 Neither,2017-Q1,5,6.000000,6.100000000
Children Act (Public),South West,All types,2017-Q1,450,24.300000,23.900000000
Children Act (Public),Wales,1 Both,2017-Q1,226,23.100000,23.400000000
Children Act (Public),Wales,2 Applicant Only,2017-Q1,47,13.200000,14.000000000
Children Act (Public),Wales,3 Respondent Only,2017-Q1,9,34.600000,33.600000000
Children Act (Public),Wales,4 Neither,2017-Q1,6,15.000000,15.700000000
Children Act (Public),Wales,All types,2017-Q1,288,21.700000,22.500000000
Children Act (Public),England & Wales,1 Both,2017-Q2,3205,27.700000,25.100000000
Children Act (Public),England & Wales,2 Applicant Only,2017-Q2,710,13.700000,10.800000000
Children Act (Public),England & Wales,3 Respondent Only,2017-Q2,75,27.200000,24.900000000
Children Act (Public),England & Wales,4 Neither,2017-Q2,48,21.700000,14.000000000
Children Act (Public),England & Wales,All types,2017-Q2,4038,25.200000,24.100000000
Children Act (Public),London,1 Both,2017-Q2,401,30.200000,27.400000000
Children Act (Public),London,2 Applicant Only,2017-Q2,89,15.100000,12.900000000
Children Act (Public),London,3 Respondent Only,2017-Q2,47,26.300000,25.100000000
Children Act (Public),London,4 Neither,2017-Q2,16,27.200000,25.100000000
Children Act (Public),London,All types,2017-Q2,553,27.300000,25.700000000
Children Act (Public),Midlands,1 Both,2017-Q2,599,28.300000,25.100000000
Children Act (Public),Midlands,2 Applicant Only,2017-Q2,117,13.600000,11.600000000
Children Act (Public),Midlands,3 Respondent Only,2017-Q2,1,35.000000,35.000000000
Children Act (Public),Midlands,4 Neither,2017-Q2,6,35.500000,18.300000000
Children Act (Public),Midlands,All types,2017-Q2,723,26.000000,24.000000000
Children Act (Public),North East,1 Both,2017-Q2,565,26.900000,24.900000000
Children Act (Public),North East,2 Applicant Only,2017-Q2,141,13.900000,9.100000000
Children Act (Public),North East,3 Respondent Only,2017-Q2,2,23.000000,23.000000000
Children Act (Public),North East,4 Neither,2017-Q2,9,11.200000,7.900000000
Children Act (Public),North East,All types,2017-Q2,717,24.200000,23.900000000
Children Act (Public),North West,1 Both,2017-Q2,525,27.000000,25.700000000
Children Act (Public),North West,2 Applicant Only,2017-Q2,152,14.200000,10.900000000
Children Act (Public),North West,3 Respondent Only,2017-Q2,6,35.900000,24.000000000
Children Act (Public),North West,All types,2017-Q2,683,24.200000,24.300000000
Children Act (Public),South East,1 Both,2017-Q2,545,28.900000,25.900000000
Children Act (Public),South East,2 Applicant Only,2017-Q2,109,14.700000,14.000000000
Children Act (Public),South East,3 Respondent Only,2017-Q2,2,23.400000,23.400000000
Children Act (Public),South East,4 Neither,2017-Q2,8,21.600000,8.300000000
Children Act (Public),South East,All types,2017-Q2,664,26.500000,25.100000000
Children Act (Public),South West,1 Both,2017-Q2,333,27.100000,24.100000000
Children Act (Public),South West,2 Applicant Only,2017-Q2,54,10.900000,7.000000000
Children Act (Public),South West,3 Respondent Only,2017-Q2,11,27.100000,24.100000000
Children Act (Public),South West,4 Neither,2017-Q2,5,6.800000,5.300000000
Children Act (Public),South West,All types,2017-Q2,403,24.600000,23.100000000
Children Act (Public),Wales,1 Both,2017-Q2,237,24.300000,23.300000000
Children Act (Public),Wales,2 Applicant Only,2017-Q2,48,10.300000,8.800000000
Children Act (Public),Wales,3 Respondent Only,2017-Q2,6,27.800000,21.000000000
Children Act (Public),Wales,4 Neither,2017-Q2,4,20.900000,18.800000000
Children Act (Public),Wales,All types,2017-Q2,295,22.100000,22.300000000
Children Act (Public),England & Wales,1 Both,2017-Q3,3139,27.900000,25.000000000
Children Act (Public),England & Wales,2 Applicant Only,2017-Q3,746,13.400000,11.200000000
Children Act (Public),England & Wales,3 Respondent Only,2017-Q3,48,29.000000,25.600000000
Children Act (Public),England & Wales,4 Neither,2017-Q3,39,15.500000,9.400000000
Children Act (Public),England & Wales,All types,2017-Q3,3972,25.000000,24.000000000
Children Act (Public),London,1 Both,2017-Q3,387,29.000000,25.700000000
Children Act (Public),London,2 Applicant Only,2017-Q3,115,15.400000,13.000000000
Children Act (Public),London,3 Respondent Only,2017-Q3,21,29.300000,28.000000000
Children Act (Public),London,4 Neither,2017-Q3,5,21.400000,16.100000000
Children Act (Public),London,All types,2017-Q3,528,26.000000,24.900000000
Children Act (Public),Midlands,1 Both,2017-Q3,593,28.500000,25.300000000
Children Act (Public),Midlands,2 Applicant Only,2017-Q3,149,14.100000,12.700000000
Children Act (Public),Midlands,3 Respondent Only,2017-Q3,2,18.300000,18.300000000
Children Act (Public),Midlands,4 Neither,2017-Q3,8,30.200000,42.300000000
Children Act (Public),Midlands,All types,2017-Q3,752,25.700000,24.100000000
Children Act (Public),North East,1 Both,2017-Q3,612,28.200000,24.900000000
Children Act (Public),North East,2 Applicant Only,2017-Q3,129,13.100000,12.900000000
Children Act (Public),North East,3 Respondent Only,2017-Q3,5,24.100000,19.700000000
Children Act (Public),North East,4 Neither,2017-Q3,7,9.900000,2.100000000
Children Act (Public),North East,All types,2017-Q3,753,25.400000,24.000000000
Children Act (Public),North West,1 Both,2017-Q3,466,27.800000,25.400000000
Children Act (Public),North West,2 Applicant Only,2017-Q3,129,13.800000,11.700000000
Children Act (Public),North West,4 Neither,2017-Q3,5,14.400000,8.100000000
Children Act (Public),North West,All types,2017-Q3,600,24.600000,23.900000000
Children Act (Public),South East,1 Both,2017-Q3,536,29.100000,25.500000000
Children Act (Public),South East,2 Applicant Only,2017-Q3,125,12.300000,8.900000000
Children Act (Public),South East,3 Respondent Only,2017-Q3,8,23.000000,24.100000000
Children Act (Public),South East,4 Neither,2017-Q3,9,6.600000,5.000000000
Children Act (Public),South East,All types,2017-Q3,678,25.600000,24.600000000
Children Act (Public),South West,1 Both,2017-Q3,305,25.900000,23.900000000
Children Act (Public),South West,2 Applicant Only,2017-Q3,55,8.600000,5.700000000
Children Act (Public),South West,3 Respondent Only,2017-Q3,8,38.500000,27.000000000
Children Act (Public),South West,4 Neither,2017-Q3,4,7.300000,8.300000000
Children Act (Public),South West,All types,2017-Q3,372,23.400000,22.500000000
Children Act (Public),Wales,1 Both,2017-Q3,240,23.600000,23.300000000
Children Act (Public),Wales,2 Applicant Only,2017-Q3,44,14.900000,13.900000000
Children Act (Public),Wales,3 Respondent Only,2017-Q3,4,31.900000,25.500000000
Children Act (Public),Wales,4 Neither,2017-Q3,1,27.400000,27.400000000
Children Act (Public),Wales,All types,2017-Q3,289,22.400000,22.900000000
Children Act (Public),England & Wales,1 Both,2017-Q4,3266,28.200000,25.100000000
Children Act (Public),England & Wales,2 Applicant Only,2017-Q4,642,14.400000,12.000000000
Children Act (Public),England & Wales,3 Respondent Only,2017-Q4,47,27.900000,25.600000000
Children Act (Public),England & Wales,4 Neither,2017-Q4,49,18.700000,14.000000000
Children Act (Public),England & Wales,All types,2017-Q4,4004,25.900000,24.300000000
Children Act (Public),London,1 Both,2017-Q4,407,29.500000,26.700000000
Children Act (Public),London,2 Applicant Only,2017-Q4,100,17.100000,14.800000000
Children Act (Public),London,3 Respondent Only,2017-Q4,11,37.200000,37.100000000
Children Act (Public),London,4 Neither,2017-Q4,5,19.100000,17.100000000
Children Act (Public),London,All types,2017-Q4,523,27.200000,26.000000000
Children Act (Public),Midlands,1 Both,2017-Q4,636,30.500000,25.900000000
Children Act (Public),Midlands,2 Applicant Only,2017-Q4,93,15.400000,14.900000000
Children Act (Public),Midlands,3 Respondent Only,2017-Q4,3,31.800000,25.600000000
Children Act (Public),Midlands,4 Neither,2017-Q4,15,16.600000,8.600000000
Children Act (Public),Midlands,All types,2017-Q4,747,28.400000,25.400000000
Children Act (Public),North East,1 Both,2017-Q4,591,26.900000,24.600000000
Children Act (Public),North East,2 Applicant Only,2017-Q4,135,14.000000,11.700000000
Children Act (Public),North East,3 Respondent Only,2017-Q4,16,24.900000,27.200000000
Children Act (Public),North East,4 Neither,2017-Q4,12,19.000000,16.800000000
Children Act (Public),North East,All types,2017-Q4,754,24.400000,23.400000000
Children Act (Public),North West,1 Both,2017-Q4,482,28.200000,25.400000000
Children Act (Public),North West,2 Applicant Only,2017-Q4,142,15.200000,12.000000000
Children Act (Public),North West,3 Respondent Only,2017-Q4,3,39.800000,43.100000000
Children Act (Public),North West,4 Neither,2017-Q4,7,20.300000,14.100000000
Children Act (Public),North West,All types,2017-Q4,634,25.200000,24.100000000
Children Act (Public),South East,1 Both,2017-Q4,541,28.800000,25.600000000
Children Act (Public),South East,2 Applicant Only,2017-Q4,87,12.500000,10.900000000
Children Act (Public),South East,3 Respondent Only,2017-Q4,6,21.300000,12.000000000
Children Act (Public),South East,4 Neither,2017-Q4,6,12.700000,5.500000000
Children Act (Public),South East,All types,2017-Q4,640,26.400000,24.700000000
Children Act (Public),South West,1 Both,2017-Q4,374,26.500000,23.900000000
Children Act (Public),South West,2 Applicant Only,2017-Q4,46,8.200000,6.500000000
Children Act (Public),South West,3 Respondent Only,2017-Q4,4,26.400000,22.900000000
Children Act (Public),South West,4 Neither,2017-Q4,3,41.500000,24.000000000
Children Act (Public),South West,All types,2017-Q4,427,24.700000,22.900000000
Children Act (Public),Wales,1 Both,2017-Q4,235,24.500000,24.000000000
Children Act (Public),Wales,2 Applicant Only,2017-Q4,39,14.900000,12.400000000
Children Act (Public),Wales,3 Respondent Only,2017-Q4,4,14.100000,14.900000000
Children Act (Public),Wales,4 Neither,2017-Q4,1,3.300000,3.300000000
Children Act (Public),Wales,All types,2017-Q4,279,22.900000,23.400000000
Children Act (Public),England & Wales,1 Both,2018-Q1,3146,29.500000,26.000000000
Children Act (Public),England & Wales,2 Applicant Only,2018-Q1,668,14.900000,12.300000000
Children Act (Public),England & Wales,3 Respondent Only,2018-Q1,42,27.800000,26.300000000
Children Act (Public),England & Wales,4 Neither,2018-Q1,37,19.200000,13.100000000
Children Act (Public),England & Wales,All types,2018-Q1,3893,26.900000,25.300000000
Children Act (Public),London,1 Both,2018-Q1,388,30.200000,27.700000000
Children Act (Public),London,2 Applicant Only,2018-Q1,114,19.600000,20.000000000
Children Act (Public),London,3 Respondent Only,2018-Q1,6,27.400000,29.300000000
Children Act (Public),London,4 Neither,2018-Q1,7,12.100000,7.000000000
Children Act (Public),London,All types,2018-Q1,515,27.600000,26.300000000
Children Act (Public),Midlands,1 Both,2018-Q1,590,32.700000,29.000000000
Children Act (Public),Midlands,2 Applicant Only,2018-Q1,115,15.500000,13.000000000
Children Act (Public),Midlands,3 Respondent Only,2018-Q1,2,46.700000,46.700000000
Children Act (Public),Midlands,4 Neither,2018-Q1,3,31.100000,33.300000000
Children Act (Public),Midlands,All types,2018-Q1,710,30.000000,26.300000000
Children Act (Public),North East,1 Both,2018-Q1,560,29.800000,25.900000000
Children Act (Public),North East,2 Applicant Only,2018-Q1,108,13.200000,10.800000000
Children Act (Public),North East,3 Respondent Only,2018-Q1,19,25.900000,25.900000000
Children Act (Public),North East,4 Neither,2018-Q1,11,18.100000,12.000000000
Children Act (Public),North East,All types,2018-Q1,698,27.000000,25.100000000
Children Act (Public),North West,1 Both,2018-Q1,485,29.600000,26.900000000
Children Act (Public),North West,2 Applicant Only,2018-Q1,125,14.600000,9.900000000
Children Act (Public),North West,3 Respondent Only,2018-Q1,1,21.300000,21.300000000
Children Act (Public),North West,4 Neither,2018-Q1,2,46.400000,46.400000000
Children Act (Public),North West,All types,2018-Q1,613,26.600000,25.300000000
Children Act (Public),South East,1 Both,2018-Q1,561,29.900000,26.400000000
Children Act (Public),South East,2 Applicant Only,2018-Q1,110,12.400000,9.400000000
Children Act (Public),South East,3 Respondent Only,2018-Q1,2,16.400000,16.400000000
Children Act (Public),South East,4 Neither,2018-Q1,8,13.000000,8.800000000
Children Act (Public),South East,All types,2018-Q1,681,26.800000,25.300000000
Children Act (Public),South West,1 Both,2018-Q1,327,24.800000,23.300000000
Children Act (Public),South West,2 Applicant Only,2018-Q1,42,12.100000,7.700000000
Children Act (Public),South West,3 Respondent Only,2018-Q1,9,33.600000,38.100000000
Children Act (Public),South West,4 Neither,2018-Q1,3,35.600000,13.600000000
Children Act (Public),South West,All types,2018-Q1,381,23.700000,22.600000000
Children Act (Public),Wales,1 Both,2018-Q1,235,25.000000,24.700000000
Children Act (Public),Wales,2 Applicant Only,2018-Q1,54,14.400000,14.100000000
Children Act (Public),Wales,3 Respondent Only,2018-Q1,3,20.500000,22.300000000
Children Act (Public),Wales,4 Neither,2018-Q1,3,10.000000,13.100000000
Children Act (Public),Wales,All types,2018-Q1,295,22.900000,23.900000000
Children Act (Public),England & Wales,1 Both,2018-Q2,3181,29.500000,25.900000000
Children Act (Public),England & Wales,2 Applicant Only,2018-Q2,706,15.100000,12.000000000
Children Act (Public),England & Wales,3 Respondent Only,2018-Q2,44,25.300000,24.400000000
Children Act (Public),England & Wales,4 Neither,2018-Q2,41,18.200000,14.700000000
Children Act (Public),England & Wales,All types,2018-Q2,3972,26.800000,25.000000000
Children Act (Public),London,1 Both,2018-Q2,374,31.000000,28.200000000
Children Act (Public),London,2 Applicant Only,2018-Q2,100,16.100000,15.200000000
Children Act (Public),London,3 Respondent Only,2018-Q2,12,27.500000,24.800000000
Children Act (Public),London,4 Neither,2018-Q2,4,27.300000,25.400000000
Children Act (Public),London,All types,2018-Q2,490,27.800000,26.000000000
Children Act (Public),Midlands,1 Both,2018-Q2,614,31.900000,28.000000000
Children Act (Public),Midlands,2 Applicant Only,2018-Q2,125,15.300000,12.900000000
Children Act (Public),Midlands,3 Respondent Only,2018-Q2,4,14.100000,15.000000000
Children Act (Public),Midlands,4 Neither,2018-Q2,4,11.700000,11.300000000
